"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Penguin Soldier","Unlimited","Card Text FLIP: You can target up to 2 monsters on the field; return those targets to the hand.","Attribute WATER","Level 2","Monster Type Aqua","Card Type Effect","ATK 750","DEF 500",""
"Fairy Dragon","Unlimited","Card Text This beautiful Dragon spirit harbors hidden strength.","Attribute WIND","Level 4","Monster Type Dragon","Card Type Normal","ATK 1100","DEF 1200",""
"Obese Marmot of Nefariousness","Unlimited","Card Text An ill-mannered field varmint that will sink its teeth into anything.","Attribute EARTH","Level 3","Monster Type Beast","Card Type Normal","ATK 750","DEF 800",""
"Liquid Beast","Unlimited","Card Text A liquid life form that thrives on water.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Normal","ATK 950","DEF 800",""
"Twin Long Rods #2","Unlimited","Card Text An amphibious creature with two whip-like tails.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Normal","ATK 850","DEF 700",""
"Great Bill","Unlimited","Card Text Nothing escapes from this beast's massive mouth.","Attribute EARTH","Level 4","Monster Type Beast","Card Type Normal","ATK 1250","DEF 1300",""
"Shining Friendship","Unlimited","Card Text The peacemaker among monsters.","Attribute LIGHT","Level 4","Monster Type Fairy","Card Type Normal","ATK 1300","DEF 1100",""
"Bladefly","Unlimited","Card Text As long as this card remains face-up on the field, increase the ATK of all WIND monsters by 500 points and decrease the ATK of all EARTH monsters by 400 points.","Attribute WIND","Level 2","Monster Type Insect","Card Type Effect","ATK 600","DEF 700",""
"Electric Lizard","Unlimited","Card Text A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn.","Attribute EARTH","Level 3","Monster Type Thunder","Card Type Effect","ATK 850","DEF 800",""
"Hiro's Shadow Scout","Unlimited","Card Text FLIP: Your opponent draws 3 cards. Both players look at the cards. If there are any Spell Cards among them, discard all those Spell Card(s) to the Graveyard.","Attribute DARK","Level 2","Monster Type Fiend","Card Type Effect","ATK 650","DEF 500",""
"Lady of Faith","Unlimited","Card Text Soothes the souls of others by chanting a mysterious spell.","Attribute LIGHT","Level 3","Monster Type Spellcaster","Card Type Normal","ATK 1100","DEF 800",""
"Twin-Headed Thunder Dragon","Unlimited","Card Text ""Thunder Dragon"" + ""Thunder Dragon""","Attribute LIGHT","Level 7","Monster Type Thunder","Card Type Fusion","ATK 2800","DEF 2100",""
"Hunter Spider","Unlimited","Card Text This monster feeds on whatever it catches in its web.","Attribute EARTH","Level 5","Monster Type Insect","Card Type Normal","ATK 1600","DEF 1400",""
"Armored Starfish","Unlimited","Card Text A bluish starfish with a solid hide capable of fending off attacks.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Normal","ATK 850","DEF 1400",""
"Hourglass of Courage","Unlimited","Card Text If this card is Normal or Flip Summoned, its original ATK and DEF are halved until the End Phase of your next turn. After that, the original ATK and DEF are doubled.","Attribute LIGHT","Level 4","Monster Type Fairy","Card Type Effect","ATK 1100","DEF 1200",""
"Marine Beast","Unlimited","Card Text ""Water Magician"" + ""Behegon""","Attribute WATER","Level 5","Monster Type Fish","Card Type Fusion","ATK 1700","DEF 1600",""
"Warrior of Tradition","Unlimited","Card Text ""Sonic Maid"" + ""Beautiful Headhuntress""","Attribute EARTH","Level 6","Monster Type Warrior","Card Type Fusion","ATK 1900","DEF 1700",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Snakeyashi","Unlimited","Card Text This monster is formed by several serpents that break off to individually attack nearby enemies.","Attribute EARTH","Level 4","Monster Type Plant","Card Type Normal","ATK 1000","DEF 1200",""
"Succubus Knight","Unlimited","Card Text A warrior wizard adept in casting bone-chilling spells.","Attribute DARK","Level 5","Monster Type Warrior","Card Type Normal","ATK 1650","DEF 1300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"High Tide Gyojin","Unlimited","Card Text A very agile half-fish warrior known for its relentless attacks.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Normal","ATK 1650","DEF 1300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Amazon of the Seas","Unlimited","Card Text A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.","Attribute WATER","Level 4","Monster Type Fish","Card Type Normal","ATK 1300","DEF 1400",""
"Nekogal #2","Unlimited","Card Text A fast and lethal creature with very dangerous claws.","Attribute EARTH","Level 6","Monster Type Beast-Warrior","Card Type Normal","ATK 1900","DEF 2000",""
"Witch's Apprentice","Unlimited","Card Text As long as this card remains face-up on the field, increase the ATK of all DARK monsters by 500 points and decrease the ATK of all LIGHT monsters by 400 points.","Attribute DARK","Level 2","Monster Type Spellcaster","Card Type Effect","ATK 550","DEF 500",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Ancient Lizard Warrior","Unlimited","Card Text Before the dawn of man, this lizard warrior ruled supreme.","Attribute EARTH","Level 4","Monster Type Reptile","Card Type Normal","ATK 1400","DEF 1100",""
"Maiden of the Moonlight","Unlimited","Card Text A sorcerer blessed by lunar light with powers far beyond mortal comprehension.","Attribute LIGHT","Level 4","Monster Type Spellcaster","Card Type Normal","ATK 1500","DEF 1300",""
"Stone Ogre Grotto","Unlimited","Card Text A behemoth shaped by giant boulders.","Attribute EARTH","Level 5","Monster Type Rock","Card Type Normal","ATK 1600","DEF 1500",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Queen's Double","Unlimited","Card Text This monster may attack your opponent's Life Points directly.","Attribute EARTH","Level 1","Monster Type Warrior","Card Type Effect","ATK 350","DEF 300",""
"Blue-Winged Crown","Unlimited","Card Text With hair shaped like a crown and a body encased in bluish white flames, this bird is a formidable sight.","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Normal","ATK 1600","DEF 1200",""
"Trent","Unlimited","Card Text A guardian of the woods, this massive tree is believed to be immortal.","Attribute EARTH","Level 5","Monster Type Plant","Card Type Normal","ATK 1500","DEF 1800",""
"Queen of Autumn Leaves","Unlimited","Card Text Queen of the Emerald Forest and wife of the Spirit King, she lives surrounded by vivid red leaves.","Attribute EARTH","Level 5","Monster Type Plant","Card Type Normal","ATK 1800","DEF 1500",""
"Amphibious Bugroth","Unlimited","Card Text ""Ground Attacker Bugroth"" + ""Defender of the Sea""","Attribute WATER","Level 5","Monster Type Aqua","Card Type Fusion","ATK 1850","DEF 1300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Invader of the Throne","Unlimited","Card Text FLIP: Select 1 monster on your opponent's side of the field and switch control of it with this card. This effect cannot be activated during the Battle Phase.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1350","DEF 1700",""
"Mystical Sheep #1","Unlimited","Card Text You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s).","Attribute EARTH","Level 3","Monster Type Beast","Card Type Effect","ATK 1150","DEF 900",""
"Disk Magician","Unlimited","Card Text This monster hides in a saucer and only appears when executing an attack.","Attribute DARK","Level 4","Monster Type Machine","Card Type Normal","ATK 1350","DEF 1000",""
"Flame Viper","Unlimited","Card Text A fire-breathing snake whose speed makes it a difficult target.","Attribute EARTH","Level 2","Monster Type Pyro","Card Type Normal","ATK 400","DEF 450",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Gruesome Goo","Unlimited","Card Text A slime boss that is definitely tougher than it looks.","Attribute WATER","Level 3","Monster Type Aqua","Card Type Normal","ATK 1300","DEF 700",""
"Hyosube","Unlimited","Card Text This amphibian is strong on the attack, but leaves much to be desired when defending.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Normal","ATK 1500","DEF 900",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Hibikime","Unlimited","Card Text Confuses enemy monsters with a noise that is harsh to the ears.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Normal","ATK 1450","DEF 1000",""
"Whiptail Crow","Unlimited","Card Text Attacks from the skies with a whip-like tail.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1650","DEF 1600",""
