"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon"
"The Forgiving Maiden","Unlimited","Card Text Offer this face-up card as a Tribute to return to your hand 1 of your monsters destroyed as a result of battle during this turn.","Attribute LIGHT","Level 4","Monster Type Fairy","Card Type Effect","ATK 850","DEF 2000",""
"St. Joan","Unlimited","Card Text The Forgiving Maiden + ""Darklord Marie""","Attribute LIGHT","Level 7","Monster Type Fairy","Card Type Fusion","ATK 2800","DEF 2000",""
"Darklord Marie (Updated from: Marie the Fallen One)","Unlimited","Card Text Once per turn, during your Standby Phase: You gain 200 LP. This card must be in the Graveyard to activate and to resolve this effect.NoteCard Name updated from ""Marie the Fallen One"" on November 18, 2016.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Effect","ATK 1700","DEF 1200",""
"Jar of Greed","Unlimited","Card Text Draw 1 card.","","","","","","","Icon Normal Trap"
"Scroll of Bewitchment","Unlimited","Card Text Select 1 Attribute. Change the Attribute of the equipped monster to the one you select.","","","","","","","Icon Equip Spell"
"United We Stand","Unlimited","Card Text The equipped monster gains 800 ATK/DEF for each face-up monster you control.","","","","","","","Icon Equip Spell"
"Mage Power","Unlimited","Card Text The equipped monster gains 500 ATK and DEF for each Spell/Trap Card you control.","","","","","","","Icon Equip Spell"
"Offerings to the Doomed","Unlimited","Card Text Target 1 face-up monster on the field; destroy that target, also skip your next Draw Phase.","","","","","","","Icon Quick-Play Spell"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Meteor of Destruction","Unlimited","Card Text If your opponent's Life Points are higher than 3000: Inflict 1000 damage to your opponent.","","","","","","","Icon Normal Spell"
"Lightning Vortex","Unlimited","Card Text Discard 1 card; destroy all face-up monsters your opponent controls.","","","","","","","Icon Normal Spell"
"Exchange","Unlimited","Card Text Both players reveal their hands and add 1 card from each other's hand to their hand.","","","","","","","Icon Normal Spell"
"The Portrait's Secret","Unlimited","Card Text A portrait cursed by the artist, it is said to bring ill fortune to anyone who owns it.","Attribute EARTH","Level 4","Monster Type Fiend","Card Type Normal","ATK 1200","DEF 1500",""
"The Gross Ghost of Fled Dreams","Unlimited","Card Text This monster feeds on the dreams of an unwary sleeper, dragging the victim into eternal slumber.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1300","DEF 1800",""
"Headless Knight","Unlimited","Card Text A haunted spirit of a falsely accused knight who wanders in search of truth and justice.","Attribute EARTH","Level 4","Monster Type Fiend","Card Type Normal","ATK 1450","DEF 1700",""
"Dark Necrofear","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 3 Fiend monsters from your GY. During the End Phase, if this card is in your GY because it was destroyed in your Monster Zone by an opponent's card and sent there this turn: Target 1 face-up monster your opponent controls; equip this card to that target. While this card is equipped to a monster by this effect, take control of that monster.","Attribute DARK","Level 8","Monster Type Fiend","Card Type Effect","ATK 2200","DEF 2800",""
"Magic Formula","Unlimited","Card Text Equip only to ""Dark Magician"" or ""Dark Magician Girl"". It gains 700 ATK. If this card is sent from the field to the GY: Gain 1000 LP.","","","","","","","Icon Equip Spell"
"Destiny Board","Unlimited","Card Text When this card and all 4 ""Spirit Message"" cards with different names are placed on your field, you win the Duel. Once per turn, during your opponent's End Phase: Place 1 ""Spirit Message"" card from your hand or Deck in your Spell & Trap Zone face-up, in the proper order of ""I"", ""N"", ""A"", and ""L"". When any ""Spirit Message"" card or ""Destiny Board"" you control leaves the field, send all ""Spirit Message"" cards and ""Destiny Board"" you control to the Graveyard.","","","","","","","Icon Continuous Trap"
"The Dark Door","Unlimited","Card Text Only 1 monster can attack during each Battle Phase.","","","","","","","Icon Continuous Spell"
"Earthbound Spirit","Unlimited","Card Text A vengeful creature formed by the spirits of fallen warriors, it drags any who dare approach it into the deepest bowels of the earth.","Attribute EARTH","Level 4","Monster Type Fiend","Card Type Normal","ATK 500","DEF 2000",""
"Dark Spirit of the Silent","Unlimited","Card Text Activate only when an opponent's monster declares an attack. Negate that attack, and select another face-up monster your opponent controls. That monster attacks instead. (If it is in face-up Defense Position, change it to Attack Position.)","","","","","","","Icon Normal Trap"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"The Earl of Demise","Unlimited","Card Text This gentlemanly creature is extremely wicked, feared by man and fiend alike.","Attribute DARK","Level 5","Monster Type Fiend","Card Type Normal","ATK 2000","DEF 700",""
"Dark Sage","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand or Deck) by Tributing 1 ""Dark Magician"" immediately after applying the effect of ""Time Wizard"" in which you called the coin toss right. When Special Summoned this way: Add 1 Spell Card from your Deck to your hand.","Attribute DARK","Level 9","Monster Type Spellcaster","Card Type Effect","ATK 2800","DEF 3200",""
"Temple of the Kings","Unlimited","Card Text You can activate 1 Trap Card the turn it was Set. You can send 1 ""Mystical Beast of Serket"" in your Monster Zone and this card you control to the Graveyard; Special Summon 1 monster from your hand or Deck, or 1 Fusion Monster from your Extra Deck. You can only use each effect of ""Temple of the Kings"" once per turn.","","","","","","","Icon Continuous Spell"
"Judgment of Anubis","Unlimited","Card Text When your opponent activates a Spell Card that would destroy a Spell/Trap Card(s) on the field: Discard 1 card; negate the activation, and if you do, destroy it, then you can destroy 1 face-up monster your opponent controls, and if you do that, inflict damage to your opponent equal to the destroyed monster's ATK on the field.","","","","","","","Icon Counter Trap"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Embodiment of Apophis","Unlimited","Card Text During either player's Main Phase: Special Summon this card as a Normal Monster (Reptile-Type/EARTH/Level 4/ATK 1600/DEF 1800). (This card is also still a Trap Card.)","","","","","","","Icon Continuous Trap"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Foolish Burial","Limited","Card Text Send 1 monster from your Deck to the GY. Limited","","","","","","","Icon Normal Spell"
"Makiu, the Magical Mist","Unlimited","Card Text Target 1 ""Summoned Skull"", or 1 Thunder monster, in your Monster Zone; destroy all monsters your opponent controls with DEF less than or equal to the ATK of that monster. You cannot conduct your Battle Phase the turn you activate this card.","","","","","","","Icon Normal Spell"
"Ancient Lamp","Unlimited","Card Text During your Main Phase: You can Special Summon ""La Jinn the Mystical Genie of the Lamp"" from your hand. This card must be face-up on the field to activate and to resolve this effect. Before damage calculation, if this card is being attacked by an opponent's monster, and was face-down at the start of the Damage Step: You can target 1 monster your opponent controls, except the attacking monster; the attacking monster attacks it instead, and you proceed to damage calculation.","Attribute WIND","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 900","DEF 1400",""
"Cyber Harpie Lady","Unlimited","Card Text (This card's name is always treated as ""Harpie Lady"".)","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Effect","ATK 1800","DEF 1300",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Mystical Beast of Serket","Unlimited","Card Text If you do not control ""Temple of the Kings"", destroy this card. Banish any monster destroyed by battle with this card. If this card destroys a monster by battle: It gains 500 ATK.","Attribute EARTH","Level 6","Monster Type Fairy","Card Type Effect","ATK 2500","DEF 2000",""
"Swift Gaia the Fierce Knight","Unlimited","Card Text If this is the only card in your hand, you can Normal Summon it without Tributing.","Attribute DARK","Level 7","Monster Type Warrior","Card Type Effect","ATK 2300","DEF 2100",""
"Obnoxious Celtic Guard","Unlimited","Card Text Cannot be destroyed by battle with a monster that has 1900 or more ATK.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1400","DEF 1200",""
"Zombyra the Dark","Unlimited","Card Text This card cannot attack your opponent directly. If this card destroys a monster by battle: This card loses 200 ATK.","Attribute DARK","Level 4","Monster Type Warrior","Card Type Effect","ATK 2100","DEF 500",""
"Spiritualism","Unlimited","Card Text Return 1 Spell/Trap Card your opponent controls to the hand. This card's activation and effect cannot be negated.","","","","","","","Icon Normal Spell"
"Jowgen the Spiritualist","Unlimited","Card Text You can discard 1 random card from your hand to the Graveyard; destroy all Special Summoned monsters on the field. Neither player can Special Summon monsters.","Attribute LIGHT","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 200","DEF 1300",""
"Kycoo the Ghost Destroyer","Unlimited","Card Text When this card inflicts Battle Damage to your opponent: You can target up to 2 monsters in their Graveyard; banish those targets. Your opponent cannot banish cards from either player's Graveyard.","Attribute DARK","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1800","DEF 700",""
"Summoner of Illusions","Unlimited","Card Text FLIP: Tribute 1 other monster, and if you do, Special Summon 1 Fusion Monster from your Extra Deck, but destroy it during the End Phase of this turn.","Attribute LIGHT","Level 3","Monster Type Spellcaster","Card Type Flip / Effect","ATK 800","DEF 900",""
"Bazoo the Soul-Eater","Unlimited","Card Text Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until the end of your opponent's turn.","Attribute EARTH","Level 4","Monster Type Beast","Card Type Effect","ATK 1600","DEF 900",""
"Soul of Purity and Light","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 LIGHT monsters in your Graveyard. All monsters your opponent controls lose 300 ATK during their Battle Phase only.","Attribute LIGHT","Level 6","Monster Type Fairy","Card Type Effect","ATK 2000","DEF 1800",""
"Spirit of Flames","Unlimited","Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 FIRE monster from your Graveyard. This card gains 300 ATK during your Battle Phase only.","Attribute FIRE","Level 4","Monster Type Pyro","Card Type Effect","ATK 1700","DEF 1000",""
"Aqua Spirit","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WATER monster in your Graveyard. During each of your opponent's Standby Phases, you can change the battle position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn.","Attribute WATER","Level 4","Monster Type Aqua","Card Type Effect","ATK 1600","DEF 1200",""
"The Rock Spirit","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 EARTH monster in your Graveyard. Increase the ATK of this monster by 300 points during your opponent's Battle Phase.","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 1700","DEF 1000",""
